,Client,Date,Headline,Source,VADER Score,neg,neu,pos
0,CBA,2020-03-24,Business orders crash on coronavirus: CBA index , The Australian Financial Review,-0.4019,0.31,0.69,0.0
1,CBA,2020-04-16,"Sydney, Melbourne house prices facing 10 per cent fall: CBA ", Brisbane Times,0.0,0.0,1.0,0.0
2,CBA,2020-04-14,Hoarding boom is over: CBA says shoppers have closed their wallets , The Age,0.0,0.0,1.0,0.0
3,CBA,2020-03-31,Coronavirus: CBA report reveals what we’re buying during pandemic , NEWS.com.au,0.0,0.0,1.0,0.0
4,CBA,2020-04-01,CBA increases coronavirus loan support , 7NEWS.com.au,0.4019,0.0,0.597,0.403
5,CBA,2020-03-23,"Coronavirus ASX: Coles, BHP Up, CBA, Westpac, NAB, Afterpay Fall ", Canstar,0.0,0.0,1.0,0.0
6,CBA,2020-04-19,CBA to move to minimum repayments next week - The Adviser , The Adviser,0.0,0.0,1.0,0.0
7,CBA,2020-04-06,Businesses can 'tread water' for six months: CBA , Sydney Morning Herald,0.0,0.0,1.0,0.0
8,CBA,2020-04-14,Commbank's benefit finder tool sees spike in demand during coronavirus crisis , Savings.com.au,-0.3818,0.337,0.482,0.181
9,CBA,2020-04-17,House Prices to Fall 10pc: CBA , The Urban Developer,0.0,0.0,1.0,0.0
10,CBA,2020-04-19,Coronavirus: bank boss Matt Comyn backs bid to ‘get lives back sooner’ , The Australian,-0.0516,0.098,0.902,0.0
11,CBA,2020-03-25,Commonwealth bank closes branches as community struggles with coronavirus , Mirage News,-0.3612,0.238,0.762,0.0
12,CBA,2020-03-26,Coronavirus pushes up contactless payment limit to contain virus spread , 7NEWS.com.au,0.0,0.0,1.0,0.0
13,CBA,2020-03-23,CBA 'looking at' cutting credit card rates , The Canberra Times,0.2732,0.165,0.549,0.286
14,CBA,2020-03-26,CBA launches coronavirus comms campaign after eight-fold growth in... , Finextra,0.3818,0.0,0.755,0.245
15,CBA,2020-03-24,"CBA reaches out for call centre staff from Qantas, Virgin as coronavirus hardship demand rises ", The Australian,-0.3818,0.224,0.706,0.071
16,CBA,2020-03-26,Are banks freezing mortgages? Here are the banks putting payments on hold amid coronavirus , ABC News,-0.1027,0.097,0.903,0.0
17,CBA,2020-04-19,"Why did the official unemployment rate barely rise in March, despite coronavirus spurring job losses? ", The New Daily,-0.6808,0.301,0.699,0.0
18,CBA,2020-03-31,Coronavirus bank loans: what’s on offer for Australian home owners and small business , The Guardian,0.0,0.0,1.0,0.0
